yyyy,mm,dd,hh,wh(m),q(m3/s)
2016,8,27,3,737.53,2.117
2016,8,27,4,737.533,2.149
2016,8,27,5,737.535,2.17
2016,8,27,6,737.537,2.192
2016,8,27,7,737.539,2.214
2016,8,27,8,737.54,2.225
2016,8,27,9,737.541,2.236
2016,8,27,10,737.544,2.269
2016,8,27,11,737.544,2.269
2016,8,27,12,737.546,2.292
2016,8,27,13,737.548,2.314
2016,8,27,14,737.549,2.326
2016,8,27,15,737.549,2.326
2016,8,27,16,737.549,2.326
2016,8,27,17,737.554,2.383
2016,8,27,18,737.554,2.383
2016,8,27,19,737.554,2.383
2016,8,27,20,737.555,2.394
2016,8,27,21,737.556,2.406
2016,8,27,22,737.561,2.417
2016,8,27,23,737.561,2.417
2016,8,28,0,737.562,2.429
2016,8,28,1,737.562,2.429
2016,8,28,2,737.563,2.441
2016,8,28,3,737.563,2.441
2016,8,28,4,737.563,2.441
2016,8,28,5,737.563,2.441
2016,8,28,6,737.564,2.452
2016,8,28,7,737.564,2.452
2016,8,28,8,737.564,2.452
2016,8,28,9,737.564,2.452
2016,8,28,10,737.564,2.452
2016,8,28,11,737.564,2.452
2016,8,28,12,737.564,2.452
2016,8,28,13,737.564,2.452
2016,8,28,14,737.564,2.452
2016,8,28,15,737.564,2.452
2016,8,28,16,737.564,2.452
2016,8,28,17,737.564,2.452
2016,8,28,18,737.564,2.452
2016,8,28,19,737.564,2.452
2016,8,28,20,737.564,2.452
2016,8,28,21,737.564,2.452
2016,8,28,22,737.564,2.452
2016,8,28,23,737.564,2.452
2016,8,29,0,737.564,2.452
2016,8,29,1,737.564,2.452
2016,8,29,2,737.564,2.452
2016,8,29,3,737.564,2.452
2016,8,29,4,737.563,2.441
2016,8,29,5,737.563,2.441
2016,8,29,6,737.563,2.441
2016,8,29,7,737.562,2.429
2016,8,29,8,737.562,2.429
2016,8,29,9,737.561,2.417
2016,8,29,10,737.561,2.417
2016,8,29,11,737.561,2.417
2016,8,29,12,737.561,2.417
2016,8,29,13,737.561,2.417
2016,8,29,14,737.561,2.417
2016,8,29,15,737.555,2.394
2016,8,29,16,737.554,2.383
2016,8,29,17,737.554,2.383
2016,8,29,18,737.554,2.383
2016,8,29,19,737.554,2.383
2016,8,29,20,737.554,2.383
2016,8,29,21,737.553,2.371
2016,8,29,22,737.553,2.371
2016,8,29,23,737.552,2.36
2016,8,30,0,737.552,2.36
2016,8,30,1,737.552,2.36
2016,8,30,2,737.552,2.36
2016,8,30,3,737.552,2.36
2016,8,30,4,737.552,2.36
2016,8,30,5,737.552,2.36
2016,8,30,6,737.552,2.36
2016,8,30,7,737.551,2.348
2016,8,30,8,737.548,2.314
2016,8,30,9,737.548,2.314
2016,8,30,10,737.548,2.314
2016,8,30,11,737.548,2.314
2016,8,30,12,737.548,2.314
2016,8,30,13,737.548,2.314
2016,8,30,14,737.548,2.314
2016,8,30,15,737.547,2.303
2016,8,30,16,737.546,2.292
2016,8,30,17,737.546,2.292
2016,8,30,18,737.544,2.269
2016,8,30,19,737.544,2.269
2016,8,30,20,737.544,2.269
2016,8,30,21,737.543,2.259
2016,8,30,22,737.542,2.247
2016,8,30,23,737.542,2.247
2016,8,31,0,737.542,2.247
2016,8,31,1,737.542,2.247
2016,8,31,2,737.541,2.236
2016,8,31,3,737.541,2.236
2016,8,31,4,737.541,2.236
2016,8,31,5,737.539,2.214
2016,8,31,6,737.539,2.214
2016,8,31,7,737.539,2.214
2016,8,31,8,737.539,2.214
2016,8,31,9,737.53,2.117
2016,8,31,10,737.53,2.117
2016,8,31,11,737.53,2.117
2016,8,31,12,737.53,2.117
2016,8,31,13,737.53,2.117
2016,8,31,14,737.53,2.117
2016,8,31,15,737.53,2.117
2016,8,31,16,737.53,2.117
2016,8,31,17,737.53,2.117
2016,8,31,18,737.53,2.117
2016,8,31,19,737.53,2.117
2016,8,31,20,737.53,2.117
2016,8,31,21,737.53,2.117
2016,8,31,22,737.53,2.117
2016,8,31,23,737.53,2.117
2016,9,1,0,737.52,2.012
2016,9,1,1,737.52,2.012
2016,9,1,2,737.52,2.012
2016,9,1,3,737.52,2.012
2016,9,1,4,737.52,2.012
2016,9,1,5,737.52,2.012
2016,9,1,6,737.52,2.012
2016,9,1,7,737.52,2.012
2016,9,1,8,737.51,1.911
2016,9,1,9,737.51,1.911
2016,9,1,10,737.51,1.911
2016,9,1,11,737.51,1.911
2016,9,1,12,737.51,1.911
2016,9,1,13,737.51,1.911
2016,9,1,14,737.51,1.911
2016,9,1,15,737.51,1.911
2016,9,1,16,737.51,1.911
2016,9,1,17,737.51,1.911
2016,9,1,18,737.51,1.911
2016,9,1,19,737.51,1.911
2016,9,1,20,737.51,1.911
2016,9,1,21,737.51,1.911
2016,9,1,22,737.51,1.911
2016,9,1,23,737.51,1.911
2016,9,2,0,737.51,1.911
2016,9,2,1,737.51,1.911
2016,9,2,2,737.5,1.812
2016,9,2,3,737.5,1.812
2016,9,2,4,737.5,1.812
2016,9,2,5,737.5,1.812
2016,9,2,6,737.5,1.812
2016,9,2,7,737.5,1.812
2016,9,2,8,737.5,1.812
2016,9,2,9,737.5,1.812
2016,9,2,10,737.5,1.812
2016,9,2,11,737.5,1.812
2016,9,2,12,737.5,1.812
2016,9,2,13,737.5,1.812
2016,9,2,14,737.5,1.812
2016,9,2,15,737.5,1.812
2016,9,2,16,737.5,1.812
2016,9,2,17,737.5,1.812
2016,9,2,18,737.5,1.812
2016,9,2,19,737.5,1.812
2016,9,2,20,737.5,1.812
2016,9,2,21,737.5,1.812
2016,9,2,22,737.5,1.812
2016,9,2,23,737.49,1.717
2016,9,3,0,737.5,1.812
2016,9,3,1,737.49,1.717
2016,9,3,2,737.49,1.717
2016,9,3,3,737.49,1.717
2016,9,3,4,737.49,1.717
2016,9,3,5,737.5,1.812
2016,9,3,6,737.5,1.812
2016,9,3,7,737.5,1.812
2016,9,3,8,737.5,1.812
